assessment,min,q25,q50,q75,q100,mean,count,avg_completion_time_minutes
Guía acumulativa 1,0.0,47.5,80.0,90.0,95.0,67.33333333333333,15,97.14333333333333
Guía acumulativa 2,80.0,90.0,92.5,95.0,100.0,91.66666666666667,12,39.76666666666667
Guía acumulativa 3,55.0,85.0,90.0,90.0,100.0,85.55555555555556,9,22.275925925925925
Guía acumulativa 4,65.0,72.5,82.5,85.0,90.0,79.16666666666667,6,10.380555555555556
Guía acumulativa 5,80.0,80.0,80.0,86.0,92.0,84.0,3,21.533333333333335
Guía acumulativa 6,0.0,0.0,0.0,0.0,0.0,0.0,1,61.45
Guía acumulativa 7,,,,,,,0,
Guía acumulativa 8,,,,,,,0,
